f S_{11}-TE-(wt=0.2) f S_{11}-TE-(wt=0.3) f S_{11}-TE-(wt=0.15)
8,-0.032379951,8,-0.056426412,8,-0.025234042
8.004,-0.0324535,8.004,-0.056589763,8.004,-0.025284234
8.008,-0.032527451,8.008,-0.056754271,8.008,-0.025334697
8.012,-0.032601808,8.012,-0.05691995,8.012,-0.025385433
8.016,-0.032676574,8.016,-0.057086813,8.016,-0.025436443
8.02,-0.032751755,8.02,-0.057254875,8.02,-0.025487731
8.024,-0.032827355,8.024,-0.057424151,8.024,-0.0255393
8.028,-0.032903379,8.028,-0.057594654,8.028,-0.02559115
8.032,-0.032979831,8.032,-0.057766401,8.032,-0.025643286
8.036,-0.033056715,8.036,-0.057939405,8.036,-0.02569571
8.04,-0.033134037,8.04,-0.058113682,8.04,-0.025748424
8.044,-0.033211802,8.044,-0.058289248,8.044,-0.025801431
8.048,-0.033290014,8.048,-0.058466118,8.048,-0.025854733
8.052,-0.033368678,8.052,-0.058644309,8.052,-0.025908334
8.056,-0.033447799,8.056,-0.058823837,8.056,-0.025962236
8.06,-0.033527383,8.06,-0.059004719,8.06,-0.026016442
8.064,-0.033607433,8.064,-0.05918697,8.064,-0.026070954
8.068,-0.033687957,8.068,-0.05937061,8.068,-0.026125776
8.072,-0.033768959,8.072,-0.059555654,8.072,-0.026180911
8.076,-0.033850443,8.076,-0.059742121,8.076,-0.026236361
8.08,-0.033932417,8.08,-0.059930028,8.08,-0.02629213
8.084,-0.034014885,8.084,-0.060119395,8.084,-0.02634822
8.088,-0.034097852,8.088,-0.060310239,8.088,-0.026404635
8.092,-0.034181326,8.092,-0.060502579,8.092,-0.026461378
8.096,-0.03426531,8.096,-0.060696435,8.096,-0.026518451
8.1,-0.034349812,8.1,-0.060891827,8.1,-0.026575858
8.104,-0.034434837,8.104,-0.061088773,8.104,-0.026633603
8.108,-0.034520391,8.108,-0.061287295,8.108,-0.026691689
8.112,-0.03460648,8.112,-0.061487413,8.112,-0.026750118
8.116,-0.03469311,8.116,-0.061689148,8.116,-0.026808895
8.12,-0.034780288,8.12,-0.061892521,8.12,-0.026868022
8.124,-0.034868021,8.124,-0.062097554,8.124,-0.026927504
8.128,-0.034956313,8.128,-0.062304269,8.128,-0.026987343
8.132,-0.035045173,8.132,-0.062512688,8.132,-0.027047544
8.136,-0.035134606,8.136,-0.062722834,8.136,-0.02710811
8.14,-0.03522462,8.14,-0.06293473,8.14,-0.027169045
8.144,-0.035315222,8.144,-0.0631484,8.144,-0.027230352
8.148,-0.035406417,8.148,-0.063363868,8.148,-0.027292035
8.152,-0.035498214,8.152,-0.063581159,8.152,-0.027354098
8.156,-0.03559062,8.156,-0.063800296,8.156,-0.027416545
8.16,-0.035683641,8.16,-0.064021307,8.16,-0.027479381
8.164,-0.035777286,8.164,-0.064244215,8.164,-0.027542608
8.168,-0.035871561,8.168,-0.064469048,8.168,-0.027606231
8.172,-0.035966475,8.172,-0.064695833,8.172,-0.027670254
8.176,-0.036062034,8.176,-0.064924596,8.176,-0.027734682
8.18,-0.036158248,8.18,-0.065155365,8.18,-0.027799518
8.184,-0.036255123,8.184,-0.065388169,8.184,-0.027864767
8.188,-0.036352669,8.188,-0.065623036,8.188,-0.027930434
8.192,-0.036450893,8.192,-0.065859995,8.192,-0.027996522
8.196,-0.036549803,8.196,-0.066099076,8.196,-0.028063036
8.2,-0.036649408,8.2,-0.06634031,8.2,-0.028129981
8.204,-0.036749717,8.204,-0.066583727,8.204,-0.028197362
8.208,-0.036850739,8.208,-0.066829359,8.208,-0.028265182
